Date,VIX,SPY
1995-03-20,11.34,28.857
1995-03-21,11.53,28.7842
1995-03-22,11.29,28.8115
1995-03-23,11.43,28.8297
1995-03-24,11.19,29.2391
1995-03-27,11.83,29.3574
1995-03-28,11.33,29.3574
1995-03-29,12.51,29.3483
1995-03-30,12.62,29.2937
1995-03-31,13.37,29.1754
1995-04-03,13.5,29.2482
1995-04-04,12.62,29.4393
1995-04-05,12.96,29.4393
1995-04-06,12.81,29.5484
1995-04-07,12.85,29.5211
1995-04-10,12.79,29.5757
1995-04-11,12.73,29.4757
1995-04-12,12.04,29.5757
1995-04-13,11.48,29.7395
1995-04-17,12.33,29.5667
1995-04-18,12.96,29.4666
1995-04-19,13.09,29.4393
1995-04-20,12.1,29.4847
1995-04-21,11.86,29.6303
1995-04-24,11.92,29.976
1995-04-25,12.41,29.8942
1995-04-26,12.28,29.9214
1995-04-27,11.93,29.9942
1995-04-28,11.75,30.0397
1995-05-01,12.14,29.9578
1995-05-02,11.88,30.0215
1995-05-03,11.69,30.44
1995-05-04,12.64,30.4218
1995-05-05,12.06,30.3854
1995-05-08,12.22,30.6037
1995-05-09,12.75,30.5764
1995-05-10,13.08,30.6128
1995-05-11,12.98,30.6947
1995-05-12,11.84,30.7129
1995-05-15,12.38,30.8585
1995-05-16,12.2,30.8767
1995-05-17,12.36,30.7584
1995-05-18,13.13,30.3126
1995-05-19,12.81,30.3308
1995-05-22,11.68,30.6674
1995-05-23,11.55,30.9494
1995-05-24,11.26,30.9312
1995-05-25,11.63,30.9585
1995-05-26,12.2,30.6037
1995-05-30,12.52,30.5946
1995-05-31,12.85,31.2314
1995-06-01,12.21,31.1496
1995-06-02,12.98,31.1769
1995-06-05,13.45,31.3679
1995-06-06,13.0,31.3133
1995-06-07,12.84,31.1496
1995-06-08,12.89,31.0768
1995-06-09,12.76,30.8948
1995-06-12,11.91,31.0677
1995-06-13,11.29,31.4043
1995-06-14,11.29,31.377
1995-06-15,11.23,31.5135
1995-06-16,10.75,31.607
1995-06-19,11.21,31.9639
1995-06-20,11.16,31.8816
1995-06-21,11.32,31.8633
1995-06-22,11.44,32.2842
1995-06-23,11.12,32.2201
1995-06-26,11.8,31.8358
1995-06-27,12.37,31.7717
1995-06-28,11.74,31.9365
1995-06-29,11.59,31.8816
1995-06-30,11.38,31.8633
1995-07-03,11.57,31.9822
1995-07-05,12.1,32.1012
1995-07-06,11.52,32.513
1995-07-07,11.77,32.6594
1995-07-10,12.19,32.6777
1995-07-11,12.25,32.5221
1995-07-12,12.31,32.9248
1995-07-13,12.56,32.8516
1995-07-14,12.08,32.8241
1995-07-17,12.26,33.0071
1995-07-18,12.68,32.7234
1995-07-19,13.49,32.3666
1995-07-20,12.78,32.4855
1995-07-21,12.37,32.4489
1995-07-24,12.55,32.6868
1995-07-25,12.77,32.9339
1995-07-26,13.18,32.9065
1995-07-27,13.18,33.181
1995-07-28,13.18,32.9705
1995-07-31,13.49,32.8882
1995-08-01,13.56,32.8333
1995-08-02,13.66,32.76
1995-08-03,13.78,32.7509
1995-08-04,13.21,32.7875
1995-08-07,13.1,32.8607
1995-08-08,13.06,32.8607
1995-08-09,12.75,32.8516
1995-08-10,13.0,32.7784
1995-08-11,12.9,32.5953
1995-08-14,13.24,32.8882
1995-08-15,12.35,32.8241
1995-08-16,12.45,32.9156
1995-08-17,12.13,32.8607
1995-08-18,12.03,32.8973
